Title,Prompt Text,General Prompts,Tags,Input Format,Expected Output,Last Used,Notes
Python Sorting,Write Python a python function that sorts a list of numbers in ascending order. Identify the time complexity of this function. Then optimize this function and explain why it is faster. Don't use Python's in-built sort() method.,Code Generation,Sorting,,,,
Create a prompt Database,Tell me how to create a prompt database in Google Sheets.,General Prompts,Spreadsheets,,,,Create a Prompt Databse
Add Unit Tests to Python,Add 10 different unit tests for this snippet with comments. Follow up with a short explanation of what was done.,Code Generation,Unit Tests,,,,
Blog Post for Ebook,"Generate a simple blog post for the book titled ""Title"" with the range of 600-1200 words, with the tone of voice to be friendly, targeting the United States,  for 6th grade, easy to read, conversational language.  Generate relevant images and place them in the article.",Social Media Generation,Ebook,,,,
Conversational Prompts,"Conversational Prompt Generation. -  I am going to ask you a series of questions where you will then provide the answers and we will have a back and forth conversation.  Then when I'm done asking,  you will take all of the information you provided me, the key details and information and provide a mega,specialized prompt related th the subect of the questions I ask.  For today's conversation, my subect is regarding [incredibly photorealistic images].Are you ready for my first question?  What adjectives would you use to describe an incredibly reasliztic image?  To obtain incredible realieim for editorital style, professional photoshoots, what specific cameras and lenses would I use?  I want a specifc type of editorial photography [fashion, portrat, luxuary, wedding, small object, car, large object, landscape, dark, moonlit]  If my editorial photo was of a Vogue magazine model for a luxary brand, how would you describe her?  She is 24 years old, with brown hair and blue eyes.  Add clothing, accessories.  End with ""Ok, I'm done.  Keepign all the important details, condense the prompt to make it a little shorter.  After you get what you want, you can change your subject.",Conversational Prompting,,,,,
Image Generation,"Generate and image for me.  Professional Scrum training classroom scene, modern flat illustration style with vibrant colors and minimalist elements. A past-middle-aged male instructor with a short full beard, graying black hair, and glasses stands confidently in business casual attire (navy blazer, gray slacks). He gestures toward a large whiteboard covered in Scrum-themed diagrams: sprint timelines, colorful sticky notes, and a burndown chart. Around him, a diverse group of professional students (varied ages, ethnicities, genders) in business casual clothing (collared shirts, blouses, chinos) engage actively—some taking notes on laptops, others raising hands or collaborating in pairs over a Kanban board. The room features floor-to-ceiling windows with natural light, potted plants, and a wall banner reading 'Certified Scrum Master Workshop • Portland • March 4-5, 2025.' Subtle tech details: a projector screen showing Jira workflows, tablets on desks. Warm, inviting color palette: soft blues and grays with pops of orange and green.",Image Generation,,,,,
Image Generation,"Generate and image for me. Professional Scrum training classroom scene, modern flat illustration style with vibrant colors and minimalist elements. A past-middle-aged male instructor with a short full beard, graying black hair, and glasses stands confidently in business casual attire (navy blazer, gray slacks). He gestures toward a large whiteboard covered in Scrum-themed diagrams: sprint timelines, colorful sticky notes, and a burndown chart. Around him, a diverse group of professional students (varied ages, ethnicities, genders) in business casual clothing (collared shirts, blouses, chinos) engage actively—some taking notes on laptops, others raising hands or collaborating in pairs over a Kanban board. The room features floor-to-ceiling windows with natural light, potted plants, and a blue wall banner reading 'Certified Scrum Master Workshop • Portland • March 4-5, 2025.' with a san serif font, very clear and readble. Subtle tech details: a projector screen showing Jira workflows, tablets on desks. Warm, inviting color palette: soft blues and grays with pops of orange and green.  ",Image Generation,,,,,
Image Generation,"Generate and image for me. Professional Scrum training classroom scene, modern flat illustration style with vibrant colors and minimalist elements. A past-middle-aged male instructor with a short full beard, graying black hair, and glasses stands confidently in business casual attire (navy blazer, gray slacks). He gestures toward a large whiteboard covered in Scrum-themed diagrams: sprint timelines, colorful sticky notes, and a burndown chart. Around him, a diverse group of professional students (varied ages, ethnicities, genders) in business casual clothing (collared shirts, blouses, chinos) engage actively—some taking notes on laptops, others raising hands or collaborating in pairs over a Kanban board. The room features floor-to-ceiling windows with natural light, potted plants, and a blue wall banner reading 'Certified Scrum Master Workshop • Portland • March 4-5, 2025.' with a san serif font, very clear and readable making sure that the words and date are correct .Subtle tech details: a projector screen showing Jira workflows, tablets on desks. Warm, inviting color palette: soft blues and grays with pops of orange and green.",Image Generation,,,,,
Characteur Generation,"Step 1. Customizable parameters using the image and info below. I want you to fill in the data, I want you to fill in the data wherever it is blank after the colon. Write it in brackets. Character Name: (Yendor) Character Age: (74) Character Gender: (Male) Hairstyle: (Layered Cut) Hair Color: (Black,Gray,Multicolored) Skin Tone: (Fair) Accessories: (Glasses) Outfit Upper Body: (Polo Shirt) Upper Clothing Color: (Blue) Outfit Lower Body: (Pants) Lower Clothing Color: (Light Blue) Facial Expression: (Thoughtful) Action: (Teaching) Step 2: Essential Guidelines Generate a character description using the following structure. Replace all of the placeholders with the chosen values, leaving the rest of the text intact. [Character Name] a [Character Age] playful [Character Gender], with [Hairstyle], [Haircolor], [Facial Experssoion], and a [Skin Tone] complexion, [wearing, Accessories if applicable], Dressed in an Outfit featuring a [Upper Clothing Color] [Outfit Upper Body] and [Lower Clothing Color] [Outfit Lower Body], they [Action] on a whimsical background for [Character Gender] , in 3D Pixar Animation Style. Example Output: Siyana, a 6 year-old female, with long curly hair, styled in a layered cut, golden blond hair, a cheerful expression, and a medium complexion, wearing glasses. Dressed in an outfit featuring a red blouse and black skirt, she dances on a whimsical background suitable for girls in a 3D Pixar Animation Style. After you have filled in the prompt template, you can generate the prompt in ChatGPT.",Character Generation,,,,,
Image Generation,"A high-resolution digital painting of a modern home office at night. The scene features a sleek, minimalist desk with a softly glowing desk lamp casting warm, inviting light over a clean workspace that includes a computer monitor, keyboard, and a few neatly arranged stationery items. Behind the desk, a large window reveals a serene night sky with a subtle crescent moon, scattered stars, and hints of a distant cityscape or silhouette of trees. The room is bathed in contrasting ambient lighting—a blend of cool, deep blues in the shadows and warm, golden hues from the lamp—creating a calm yet dynamic atmosphere. The perspective is slightly angled to add depth, with enough negative space to accommodate overlaying video content, making the image ideal as a background for video presentations.",Image Generation,,,,,
